barcode_info,construction_number,process_name,supplier_name,timestamp,worker_name
0000336550,6216,塗装（2.5Y8/14）,宮本鉄工,20251216-121132,中島
0000336561,6216,完品,宮本鉄工,20251217-082729,中島
0000336566,6216,完品,宮本鉄工,20251217-082729,中島
0000336567,6216,完品,宮本鉄工,20251217-082730,中島
0000336551,6216,完品,宮本鉄工,20251217-082730,中島
0000336554,6216,完品,宮本鉄工,20251217-082745,中島
0000336556,6216,完品,宮本鉄工,20251217-082745,中島
0000336558,6216,完品,宮本鉄工,20251217-082746,中島
0000336559,6216,完品,宮本鉄工,20251217-082748,中島
0000336553,6216,完品,宮本鉄工,20251217-082755,中島
0000336560,6216,完品,宮本鉄工,20251217-082758,中島
0000336564,6216,完品,宮本鉄工,20251217-121557,中島
0000336562,6216,完品,宮本鉄工,20251217-121609,中島
0000336563,6216,完品,宮本鉄工,20251217-121609,中島
0000336555,6216,完品,宮本鉄工,20251217-121754,中島
0000336557,6216,完品,宮本鉄工,20251217-121755,中島
0000336565,6216,完品,宮本鉄工,20251217-121942,中島
0000336552,6216,完品,宮本鉄工,20251217-121945,中島
0000336417,6216,完品,日星クリエイト,20251217-122224,中島
0000336419,6216,完品,日星クリエイト,20251217-122224,中島
0000336424,6216,完品,日星クリエイト,20251217-122224,中島
0000336420,6216,完品,日星クリエイト,20251217-122225,中島
0000336422,6216,完品,日星クリエイト,20251217-122241,中島
0000336421,6216,完品,日星クリエイト,20251217-122241,中島
0000336418,6216,完品,日星クリエイト,20251217-122243,中島
0000336425,6216,完品,日星クリエイト,20251217-122243,中島
0000336423,6216,完品,日星クリエイト,20251217-122251,中島
0000336336,6216,黒染,泉工業所,20251217-141604,中島
0000336452,6216,完品,レーザマックス,20251218-095219,中島
0000336451,6216,完品,レーザマックス,20251218-095219,中島
0000336450,6216,完品,レーザマックス,20251218-095220,中島
0000336455,6216,完品,レーザマックス,20251218-131449,中島
0000336456,6216,完品,レーザマックス,20251218-131450,中島
0000336453,6216,完品,レーザマックス,20251218-131452,中島
0000336454,6216,完品,レーザマックス,20251218-131453,中島
0000336355,6216,完品,泉工業所,20251222-165330,中島
0000336340,6216,完品,泉工業所,20251222-165330,中島
0000336347,6216,完品,泉工業所,20251222-165331,中島
0000336341,6216,完品,泉工業所,20251222-165331,中島
0000336351,6216,完品,泉工業所,20251222-165345,中島
0000336350,6216,完品,泉工業所,20251222-165345,中島
0000336345,6216,完品,泉工業所,20251222-165346,中島
0000336346,6216,完品,泉工業所,20251222-165346,中島
0000336335,6216,完品,泉工業所,20251222-165404,中島
0000336337,6216,完品,泉工業所,20251222-165405,中島
0000336353,6216,完品,泉工業所,20251222-165405,中島
0000336344,6216,完品,泉工業所,20251222-165406,中島
0000336343,6216,完品,泉工業所,20251222-165420,中島
0000336339,6216,完品,泉工業所,20251222-165420,中島
0000336348,6216,完品,泉工業所,20251222-165420,中島
0000336349,6216,完品,泉工業所,20251222-165421,中島
0000336354,6216,完品,泉工業所,20251222-165433,中島
0000336352,6216,完品,泉工業所,20251222-165433,中島
0000336338,6216,完品,泉工業所,20251222-165433,中島
0000336342,6216,完品,泉工業所,20251222-165435,中島
0000336324,6216,完品,硝和硝子,20260106-161216,中島
0000336325,6216,完品,硝和硝子,20260106-161217,中島
0000336323,6216,完品,硝和硝子,20260106-161218,中島
0000336322,6216,完品,硝和硝子,20260106-161218,中島
0000336318,6216,完品,硝和硝子,20260106-161231,中島
0000336317,6216,完品,硝和硝子,20260106-161231,中島
0000336321,6216,完品,硝和硝子,20260106-161231,中島
0000336316,6216,完品,硝和硝子,20260106-161233,中島
0000336314,6216,完品,硝和硝子,20260106-161246,中島
0000336313,6216,完品,硝和硝子,20260106-161246,中島
0000336320,6216,完品,硝和硝子,20260106-161246,中島
0000336315,6216,完品,硝和硝子,20260106-161246,中島
0000336319,6216,完品,硝和硝子,20260106-161304,中島
