barcode_info,construction_number,process_name,supplier_name,timestamp,worker_name
0000340543,6329,塗装（2.5Y8/14）,宮本鉄工,20260113-104521,中島
0000340548,6329,完品,宮本鉄工,20260113-111640,中島
0000340551,6329,完品,宮本鉄工,20260113-111640,中島
0000340546,6329,完品,宮本鉄工,20260113-111641,中島
0000340545,6329,完品,宮本鉄工,20260113-111641,中島
0000340557,6329,完品,宮本鉄工,20260113-111655,中島
0000340554,6329,完品,宮本鉄工,20260113-111655,中島
0000340553,6329,完品,宮本鉄工,20260113-111656,中島
0000340560,6329,完品,宮本鉄工,20260113-111656,中島
0000340562,6329,完品,宮本鉄工,20260113-111706,中島
0000340561,6329,完品,宮本鉄工,20260113-111706,中島
0000340556,6329,完品,宮本鉄工,20260113-133104,中島
0000340552,6329,完品,宮本鉄工,20260113-133104,中島
0000340559,6329,完品,宮本鉄工,20260113-133104,中島
0000340550,6329,完品,宮本鉄工,20260113-133117,中島
0000340544,6329,完品,宮本鉄工,20260113-133135,中島
0000340549,6329,完品,宮本鉄工,20260113-133136,中島
0000340547,6329,完品,宮本鉄工,20260113-133136,中島
0000340558,6329,完品,宮本鉄工,20260113-133137,中島
0000340564,6329,完品,宮本鉄工,20260113-134049,中島
0000340563,6329,完品,宮本鉄工,20260113-134053,中島
0000340555,6329,完品,宮本鉄工,20260113-134054,中島
0000343024,6329,完品,シモノ,20260113-154521,中島
0000343026,6329,完品,シモノ,20260113-154522,中島
0000343025,6329,完品,シモノ,20260113-154523,中島
